game_pk,half_inning,label
716593,Bot_1st,1
716593,Top_1st,0
716594,Bot_1st,1
716594,Top_1st,0
716595,Bot_1st,1
716595,Top_1st,1
716596,Bot_1st,0
716596,Top_1st,0
716597,Bot_1st,1
716597,Top_1st,1
716598,Bot_1st,1
716598,Top_1st,1
716599,Bot_1st,0
716599,Top_1st,1
716600,Bot_1st,1
716600,Top_1st,1
716601,Bot_1st,0
716601,Top_1st,0
716602,Bot_1st,1
716602,Top_1st,0
716603,Bot_1st,1
716603,Top_1st,1
716604,Bot_1st,0
716604,Top_1st,1
716605,Bot_1st,1
716605,Top_1st,1
716606,Bot_1st,1
716606,Top_1st,0
716607,Bot_1st,0
716607,Top_1st,1
716608,Bot_1st,1
716608,Top_1st,1
716609,Bot_1st,1
716609,Top_1st,1
716610,Bot_1st,1
716610,Top_1st,1
716611,Bot_1st,1
716611,Top_1st,1
716612,Bot_1st,1
716612,Top_1st,1
716613,Bot_1st,0
716613,Top_1st,0
716614,Bot_1st,1
716614,Top_1st,1
716615,Bot_1st,0
716615,Top_1st,0
716616,Bot_1st,0
716616,Top_1st,0
716617,Bot_1st,1
716617,Top_1st,1
716618,Bot_1st,0
716618,Top_1st,0
716619,Bot_1st,1
716619,Top_1st,1
716620,Bot_1st,1
716620,Top_1st,0
716621,Bot_1st,0
716621,Top_1st,1
716622,Bot_1st,1
716622,Top_1st,1
716623,Bot_1st,1
716623,Top_1st,0
716624,Bot_1st,1
716624,Top_1st,0
716625,Bot_1st,1
716625,Top_1st,0
716626,Bot_1st,1
716626,Top_1st,1
716627,Bot_1st,1
716627,Top_1st,0
716628,Bot_1st,0
716628,Top_1st,0
716629,Bot_1st,0
716629,Top_1st,1
716630,Bot_1st,0
716630,Top_1st,0
716631,Bot_1st,0
716631,Top_1st,1
716632,Bot_1st,1
716632,Top_1st,1
716633,Bot_1st,1
716633,Top_1st,1
716634,Bot_1st,1
716634,Top_1st,0
716635,Bot_1st,0
716635,Top_1st,0
716636,Bot_1st,1
716636,Top_1st,1
716637,Bot_1st,1
716637,Top_1st,1
716638,Bot_1st,1
716638,Top_1st,0
716639,Bot_1st,0
716639,Top_1st,1
716640,Bot_1st,1
716640,Top_1st,0
716641,Bot_1st,0
716641,Top_1st,1
716642,Bot_1st,0
716642,Top_1st,0
716643,Bot_1st,1
716643,Top_1st,0
716644,Bot_1st,0
716644,Top_1st,1
716645,Bot_1st,1
716645,Top_1st,1
716646,Bot_1st,0
716646,Top_1st,0
716647,Bot_1st,0
716647,Top_1st,1
716648,Bot_1st,1
716648,Top_1st,0
716649,Bot_1st,1
716649,Top_1st,0
716650,Bot_1st,1
716650,Top_1st,1
716651,Bot_1st,1
716651,Top_1st,0
716652,Bot_1st,1
716652,Top_1st,0
716653,Bot_1st,1
716653,Top_1st,1
716654,Bot_1st,1
716654,Top_1st,1
716655,Bot_1st,0
716655,Top_1st,1
716656,Bot_1st,1
716656,Top_1st,1
716657,Bot_1st,0
716657,Top_1st,0
716658,Bot_1st,1
716658,Top_1st,1
716659,Bot_1st,0
716659,Top_1st,0
716660,Bot_1st,0
716660,Top_1st,1
716661,Bot_1st,0
716661,Top_1st,0
716662,Bot_1st,1
716662,Top_1st,1
716663,Bot_1st,1
716663,Top_1st,0
716664,Bot_1st,1
716664,Top_1st,0
716665,Bot_1st,1
716665,Top_1st,1
716666,Bot_1st,1
716666,Top_1st,0
716667,Bot_1st,1
716667,Top_1st,0
716668,Bot_1st,1
716668,Top_1st,0
716669,Bot_1st,1
716669,Top_1st,0
716670,Bot_1st,0
716670,Top_1st,0
716671,Bot_1st,1
716671,Top_1st,0
716672,Bot_1st,0
716672,Top_1st,1
716673,Bot_1st,0
716673,Top_1st,0
716674,Bot_1st,1
716674,Top_1st,1
716675,Bot_1st,0
716675,Top_1st,0
716676,Bot_1st,1
716676,Top_1st,1
716677,Bot_1st,1
716677,Top_1st,1
716678,Bot_1st,0
716678,Top_1st,0
716679,Bot_1st,1
716679,Top_1st,1
716680,Bot_1st,1
716680,Top_1st,1
716681,Bot_1st,1
716681,Top_1st,0
716682,Bot_1st,0
716682,Top_1st,0
716683,Bot_1st,1
716683,Top_1st,1
716684,Bot_1st,1
716684,Top_1st,1
716685,Bot_1st,1
716685,Top_1st,1
716686,Bot_1st,0
716686,Top_1st,1
716687,Bot_1st,1
716687,Top_1st,1
716688,Bot_1st,1
716688,Top_1st,1
716689,Bot_1st,1
716689,Top_1st,1
716690,Bot_1st,1
716690,Top_1st,0
716691,Bot_1st,0
716691,Top_1st,1
716692,Bot_1st,1
716692,Top_1st,1
716693,Bot_1st,1
716693,Top_1st,1
716694,Bot_1st,1
716694,Top_1st,1
716695,Bot_1st,0
716695,Top_1st,0
716696,Bot_1st,1
716696,Top_1st,1
716697,Bot_1st,1
716697,Top_1st,1
716698,Bot_1st,0
716698,Top_1st,0
716699,Bot_1st,1
716699,Top_1st,1
716700,Bot_1st,0
716700,Top_1st,0
716701,Bot_1st,1
716701,Top_1st,1
716702,Bot_1st,1
716702,Top_1st,1
716703,Bot_1st,0
716703,Top_1st,1
716704,Bot_1st,0
716704,Top_1st,0
716705,Bot_1st,0
716705,Top_1st,1
716706,Bot_1st,0
716706,Top_1st,1
716707,Bot_1st,1
716707,Top_1st,1
716708,Bot_1st,0
716708,Top_1st,1
716709,Bot_1st,1
716709,Top_1st,0
716710,Bot_1st,0
716710,Top_1st,0
716711,Bot_1st,1
716711,Top_1st,1
716712,Bot_1st,1
716712,Top_1st,1
716713,Bot_1st,1
716713,Top_1st,0
716714,Bot_1st,1
716714,Top_1st,0
716715,Bot_1st,1
716715,Top_1st,1
716716,Bot_1st,1
716716,Top_1st,1
716717,Bot_1st,1
716717,Top_1st,1
716718,Bot_1st,0
716718,Top_1st,0
716719,Bot_1st,1
716719,Top_1st,1
716720,Bot_1st,1
716720,Top_1st,1
716721,Bot_1st,1
716721,Top_1st,0
716722,Bot_1st,1
716722,Top_1st,0
716723,Bot_1st,0
716723,Top_1st,0
716724,Bot_1st,1
716724,Top_1st,1
716725,Bot_1st,1
716725,Top_1st,1
716726,Bot_1st,1
716726,Top_1st,1
716727,Bot_1st,1
716727,Top_1st,0
716728,Bot_1st,1
716728,Top_1st,1
716729,Bot_1st,0
716729,Top_1st,0
716730,Bot_1st,0
716730,Top_1st,0
716731,Bot_1st,0
716731,Top_1st,0
716732,Bot_1st,1
716732,Top_1st,1
716733,Bot_1st,1
716733,Top_1st,0
716734,Bot_1st,1
716734,Top_1st,0
716735,Bot_1st,1
716735,Top_1st,0
716736,Bot_1st,1
716736,Top_1st,0
716737,Bot_1st,1
716737,Top_1st,1
716738,Bot_1st,1
716738,Top_1st,1
716739,Bot_1st,1
716739,Top_1st,0
716740,Bot_1st,1
716740,Top_1st,1
716741,Bot_1st,1
716741,Top_1st,1
716742,Bot_1st,1
716742,Top_1st,0
716743,Bot_1st,1
716743,Top_1st,0
716744,Bot_1st,0
716744,Top_1st,0
716745,Bot_1st,0
716745,Top_1st,1
716746,Bot_1st,1
716746,Top_1st,0
716747,Bot_1st,0
716747,Top_1st,1
716748,Bot_1st,1
716748,Top_1st,1
716749,Bot_1st,1
716749,Top_1st,1
716750,Bot_1st,1
716750,Top_1st,1
716751,Bot_1st,1
716751,Top_1st,1
716752,Bot_1st,1
716752,Top_1st,1
716753,Bot_1st,1
716753,Top_1st,0
716754,Bot_1st,1
716754,Top_1st,1
716755,Bot_1st,0
716755,Top_1st,1
716756,Bot_1st,1
716756,Top_1st,1
716757,Bot_1st,0
716757,Top_1st,1
716758,Bot_1st,0
716758,Top_1st,1
716759,Bot_1st,0
716759,Top_1st,0
716760,Bot_1st,0
716760,Top_1st,1
716761,Bot_1st,1
716761,Top_1st,1
716762,Bot_1st,0
716762,Top_1st,1
716763,Bot_1st,0
716763,Top_1st,1
716764,Bot_1st,1
716764,Top_1st,0
716765,Bot_1st,1
716765,Top_1st,1
716766,Bot_1st,0
716766,Top_1st,1
716767,Bot_1st,0
716767,Top_1st,1
716768,Bot_1st,1
716768,Top_1st,1
716769,Bot_1st,1
716769,Top_1st,0
716770,Bot_1st,1
716770,Top_1st,0
716771,Bot_1st,1
716771,Top_1st,1
716772,Bot_1st,0
716772,Top_1st,0
716773,Bot_1st,0
716773,Top_1st,1
716774,Bot_1st,1
716774,Top_1st,0
716775,Bot_1st,1
716775,Top_1st,0
716776,Bot_1st,0
716776,Top_1st,1
716777,Bot_1st,0
716777,Top_1st,1
716778,Bot_1st,1
716778,Top_1st,0
716779,Bot_1st,1
716779,Top_1st,1
716780,Bot_1st,0
716780,Top_1st,1
716781,Bot_1st,0
716781,Top_1st,1
716782,Bot_1st,0
716782,Top_1st,1
716783,Bot_1st,0
716783,Top_1st,1
716784,Bot_1st,0
716784,Top_1st,1
716785,Bot_1st,1
716785,Top_1st,1
716786,Bot_1st,1
716786,Top_1st,0
716787,Bot_1st,1
716787,Top_1st,0
716788,Bot_1st,1
716788,Top_1st,1
716789,Bot_1st,0
716789,Top_1st,0
716790,Bot_1st,0
716790,Top_1st,1
716791,Bot_1st,0
716791,Top_1st,1
716792,Bot_1st,1
716792,Top_1st,0
716793,Bot_1st,0
716793,Top_1st,0
716794,Bot_1st,0
716794,Top_1st,0
716795,Bot_1st,0
716795,Top_1st,1
716796,Bot_1st,1
716796,Top_1st,1
716797,Bot_1st,1
716797,Top_1st,1
716798,Bot_1st,1
716798,Top_1st,1
716799,Bot_1st,0
716799,Top_1st,1
716800,Bot_1st,0
716800,Top_1st,0
716801,Bot_1st,1
716801,Top_1st,0
716802,Bot_1st,0
716802,Top_1st,1
716803,Bot_1st,0
716803,Top_1st,0
716804,Bot_1st,1
716804,Top_1st,1
716805,Bot_1st,1
716805,Top_1st,0
716806,Bot_1st,0
716806,Top_1st,1
716807,Bot_1st,1
716807,Top_1st,1
716808,Bot_1st,0
716808,Top_1st,1
716809,Bot_1st,1
716809,Top_1st,1
716810,Bot_1st,1
716810,Top_1st,1
716811,Bot_1st,0
716811,Top_1st,1
716812,Bot_1st,1
716812,Top_1st,0
716813,Bot_1st,1
716813,Top_1st,0
716814,Bot_1st,1
716814,Top_1st,0
716815,Bot_1st,0
716815,Top_1st,0
716816,Bot_1st,1
716816,Top_1st,1
716817,Bot_1st,1
716817,Top_1st,1
716818,Bot_1st,0
716818,Top_1st,1
716819,Bot_1st,1
716819,Top_1st,0
716820,Bot_1st,1
716820,Top_1st,0
716821,Bot_1st,1
716821,Top_1st,1
716822,Bot_1st,1
716822,Top_1st,1
716823,Bot_1st,1
716823,Top_1st,0
716824,Bot_1st,0
716824,Top_1st,0
716825,Bot_1st,1
716825,Top_1st,0
716826,Bot_1st,1
716826,Top_1st,0
716827,Bot_1st,1
716827,Top_1st,1
716828,Bot_1st,1
716828,Top_1st,0
716829,Bot_1st,0
716829,Top_1st,0
716830,Bot_1st,0
716830,Top_1st,1
716831,Bot_1st,1
716831,Top_1st,1
716832,Bot_1st,1
716832,Top_1st,0
716833,Bot_1st,1
716833,Top_1st,1
716834,Bot_1st,1
716834,Top_1st,1
716835,Bot_1st,1
716835,Top_1st,1
716836,Bot_1st,0
716836,Top_1st,1
716837,Bot_1st,0
716837,Top_1st,0
716838,Bot_1st,0
716838,Top_1st,0
716839,Bot_1st,1
716839,Top_1st,1
716840,Bot_1st,0
716840,Top_1st,1
716841,Bot_1st,1
716841,Top_1st,0
716842,Bot_1st,1
716842,Top_1st,0
716843,Bot_1st,1
716843,Top_1st,1
716844,Bot_1st,0
716844,Top_1st,0
716845,Bot_1st,0
716845,Top_1st,0
716846,Bot_1st,1
716846,Top_1st,1
716847,Bot_1st,1
716847,Top_1st,0
716848,Bot_1st,0
716848,Top_1st,1
716849,Bot_1st,1
716849,Top_1st,1
716850,Bot_1st,1
716850,Top_1st,1
716851,Bot_1st,0
716851,Top_1st,0
716852,Bot_1st,0
716852,Top_1st,1
716853,Bot_1st,1
716853,Top_1st,0
716854,Bot_1st,1
716854,Top_1st,0
716855,Bot_1st,0
716855,Top_1st,0
716856,Bot_1st,1
716856,Top_1st,0
716857,Bot_1st,1
716857,Top_1st,1
716858,Bot_1st,0
716858,Top_1st,0
716859,Bot_1st,1
716859,Top_1st,1
716860,Bot_1st,0
716860,Top_1st,0
716861,Bot_1st,1
716861,Top_1st,1
716862,Bot_1st,1
716862,Top_1st,0
716863,Bot_1st,1
716863,Top_1st,1
716864,Bot_1st,1
716864,Top_1st,0
716865,Bot_1st,0
716865,Top_1st,0
716866,Bot_1st,1
716866,Top_1st,1
716867,Bot_1st,0
716867,Top_1st,1
716868,Bot_1st,1
716868,Top_1st,0
716869,Bot_1st,0
716869,Top_1st,1
716870,Bot_1st,0
716870,Top_1st,1
716871,Bot_1st,1
716871,Top_1st,0
716872,Bot_1st,1
716872,Top_1st,0
716873,Bot_1st,1
716873,Top_1st,1
716874,Bot_1st,1
716874,Top_1st,1
716875,Bot_1st,1
716875,Top_1st,1
716876,Bot_1st,1
716876,Top_1st,0
716877,Bot_1st,1
716877,Top_1st,0
716878,Bot_1st,1
716878,Top_1st,0
716879,Bot_1st,0
716879,Top_1st,1
716880,Bot_1st,0
716880,Top_1st,1
716881,Bot_1st,0
716881,Top_1st,1
716882,Bot_1st,1
716882,Top_1st,1
716883,Bot_1st,1
716883,Top_1st,0
716884,Bot_1st,1
716884,Top_1st,0
716885,Bot_1st,0
716885,Top_1st,0
716886,Bot_1st,1
716886,Top_1st,1
716887,Bot_1st,0
716887,Top_1st,0
716888,Bot_1st,1
716888,Top_1st,0
716889,Bot_1st,0
716889,Top_1st,1
716890,Bot_1st,1
716890,Top_1st,0
716891,Bot_1st,1
716891,Top_1st,1
716892,Bot_1st,0
716892,Top_1st,1
716893,Bot_1st,1
716893,Top_1st,0
716894,Bot_1st,1
716894,Top_1st,0
716895,Bot_1st,1
716895,Top_1st,1
716896,Bot_1st,1
716896,Top_1st,0
716897,Bot_1st,0
716897,Top_1st,1
716898,Bot_1st,1
716898,Top_1st,1
716899,Bot_1st,1
716899,Top_1st,1
716900,Bot_1st,0
716900,Top_1st,1
716901,Bot_1st,0
716901,Top_1st,0
716902,Bot_1st,1
716902,Top_1st,1
716903,Bot_1st,0
716903,Top_1st,0
716904,Bot_1st,0
716904,Top_1st,1
716905,Bot_1st,1
716905,Top_1st,1
716906,Bot_1st,1
716906,Top_1st,1
716907,Bot_1st,1
716907,Top_1st,1
716908,Bot_1st,1
716908,Top_1st,1
716909,Bot_1st,0
716909,Top_1st,1
716910,Bot_1st,1
716910,Top_1st,1
716911,Bot_1st,1
716911,Top_1st,1
716912,Bot_1st,1
716912,Top_1st,1
716913,Bot_1st,1
716913,Top_1st,0
716914,Bot_1st,0
716914,Top_1st,1
716915,Bot_1st,0
716915,Top_1st,1
716916,Bot_1st,0
716916,Top_1st,1
716917,Bot_1st,1
716917,Top_1st,1
716918,Bot_1st,1
716918,Top_1st,0
716919,Bot_1st,1
716919,Top_1st,1
716920,Bot_1st,1
716920,Top_1st,1
716921,Bot_1st,1
716921,Top_1st,0
716922,Bot_1st,0
716922,Top_1st,1
716923,Bot_1st,0
716923,Top_1st,0
716924,Bot_1st,0
716924,Top_1st,1
716925,Bot_1st,0
716925,Top_1st,1
716926,Bot_1st,1
716926,Top_1st,1
716927,Bot_1st,1
716927,Top_1st,1
716928,Bot_1st,0
716928,Top_1st,1
716929,Bot_1st,1
716929,Top_1st,0
716930,Bot_1st,0
716930,Top_1st,0
716931,Bot_1st,0
716931,Top_1st,0
716932,Bot_1st,1
716932,Top_1st,1
716933,Bot_1st,1
716933,Top_1st,1
716934,Bot_1st,0
716934,Top_1st,1
716935,Bot_1st,0
716935,Top_1st,1
716936,Bot_1st,1
716936,Top_1st,0
716937,Bot_1st,1
716937,Top_1st,1
716938,Bot_1st,0
716938,Top_1st,1
716939,Bot_1st,1
716939,Top_1st,1
716940,Bot_1st,1
716940,Top_1st,1
716941,Bot_1st,1
716941,Top_1st,1
716942,Bot_1st,1
716942,Top_1st,0
716943,Bot_1st,0
716943,Top_1st,1
716944,Bot_1st,1
716944,Top_1st,1
716945,Bot_1st,1
716945,Top_1st,1
716946,Bot_1st,1
716946,Top_1st,1
716947,Bot_1st,1
716947,Top_1st,1
716948,Bot_1st,0
716948,Top_1st,1
716949,Bot_1st,1
716949,Top_1st,0
716950,Bot_1st,0
716950,Top_1st,1
716951,Bot_1st,1
716951,Top_1st,1
716952,Bot_1st,1
716952,Top_1st,1
716953,Bot_1st,0
716953,Top_1st,1
716954,Bot_1st,0
716954,Top_1st,1
716955,Bot_1st,1
716955,Top_1st,0
716956,Bot_1st,1
716956,Top_1st,1
716957,Bot_1st,0
716957,Top_1st,0
